testname,LOOKAHEAD,FIFO,PB,fifo_size,streaming_latency,size,execution_cycles,dfg_size,trip_count
exp_decay,0,0,0,4,0,MEDIUM_DATASET,110013,5,9999
exp_decay,0,0,1,4,0,MEDIUM_DATASET,110013,5,9999
exp_decay,0,1,0,4,0,MEDIUM_DATASET,90016,4,9999
exp_decay,0,1,1,4,0,MEDIUM_DATASET,90016,4,9999
exp_decay,1,1,0,4,0,MEDIUM_DATASET,14651,13,9999
exp_decay,1,1,1,4,0,MEDIUM_DATASET,14651,13,9999
exp_decay,0,0,0,4,100,MEDIUM_DATASET,110113,5,9999
exp_decay,0,0,1,4,100,MEDIUM_DATASET,110113,5,9999
exp_decay,0,1,0,4,100,MEDIUM_DATASET,90374,4,9999
exp_decay,0,1,1,4,100,MEDIUM_DATASET,90374,4,9999
exp_decay,1,1,0,4,100,MEDIUM_DATASET,16230,13,9999
exp_decay,1,1,1,4,100,MEDIUM_DATASET,16230,13,9999
exp_decay,0,0,0,4,200,MEDIUM_DATASET,122715,5,9999
exp_decay,0,0,1,4,200,MEDIUM_DATASET,122715,5,9999
exp_decay,0,1,0,4,200,MEDIUM_DATASET,103374,4,9999
exp_decay,0,1,1,4,200,MEDIUM_DATASET,103374,4,9999
exp_decay,1,1,0,4,200,MEDIUM_DATASET,20630,13,9999
exp_decay,1,1,1,4,200,MEDIUM_DATASET,20630,13,9999
exp_decay,0,0,0,4,300,MEDIUM_DATASET,136115,5,9999
exp_decay,0,0,1,4,300,MEDIUM_DATASET,136115,5,9999
exp_decay,0,1,0,4,300,MEDIUM_DATASET,116374,4,9999
exp_decay,0,1,1,4,300,MEDIUM_DATASET,116374,4,9999
exp_decay,1,1,0,4,300,MEDIUM_DATASET,25030,13,9999
exp_decay,1,1,1,4,300,MEDIUM_DATASET,25030,13,9999
exp_decay,0,0,0,4,400,MEDIUM_DATASET,149515,5,9999
exp_decay,0,0,1,4,400,MEDIUM_DATASET,149515,5,9999
exp_decay,0,1,0,4,400,MEDIUM_DATASET,129374,4,9999
exp_decay,0,1,1,4,400,MEDIUM_DATASET,129374,4,9999
exp_decay,1,1,0,4,400,MEDIUM_DATASET,29430,13,9999
exp_decay,1,1,1,4,400,MEDIUM_DATASET,29430,13,9999
exp_decay,0,0,0,4,500,MEDIUM_DATASET,162915,5,9999
exp_decay,0,0,1,4,500,MEDIUM_DATASET,162915,5,9999
exp_decay,0,1,0,4,500,MEDIUM_DATASET,142374,4,9999
exp_decay,0,1,1,4,500,MEDIUM_DATASET,142374,4,9999
exp_decay,1,1,0,4,500,MEDIUM_DATASET,33830,13,9999
exp_decay,1,1,1,4,500,MEDIUM_DATASET,33830,13,9999
exp_decay,0,0,0,4,600,MEDIUM_DATASET,176315,5,9999
exp_decay,0,0,1,4,600,MEDIUM_DATASET,176315,5,9999
exp_decay,0,1,0,4,600,MEDIUM_DATASET,155374,4,9999
exp_decay,0,1,1,4,600,MEDIUM_DATASET,155374,4,9999
exp_decay,1,1,0,4,600,MEDIUM_DATASET,38230,13,9999
exp_decay,1,1,1,4,600,MEDIUM_DATASET,38230,13,9999
exp_decay,0,0,0,6,0,MEDIUM_DATASET,110013,5,9999
exp_decay,0,0,1,6,0,MEDIUM_DATASET,110013,5,9999
