testname,LOOKAHEAD,FIFO,PB,unroll,fifo_size,size,execution_cycles,dfg_size,trip_count
sep,0,0,1,none,4,MEDIUM_DATASET,90631,8,10000
sep,0,0,1,U6,4,MEDIUM_DATASET,15939,50,10000
sep,0,0,1,U7,4,MEDIUM_DATASET,13651,59,10000
sep,0,0,0,none,4,MEDIUM_DATASET,90631,8,10000
sep,0,0,0,U6,4,MEDIUM_DATASET,18147,44,10000
sep,0,0,0,U7,4,MEDIUM_DATASET,16505,51,10000
sep,1,1,0,none,4,MEDIUM_DATASET,10604,9,10000
sep,1,1,0,U6,4,MEDIUM_DATASET,19990,45,10000
sep,1,1,0,U7,4,MEDIUM_DATASET,18283,52,10000
sep,1,1,1,none,4,MEDIUM_DATASET,10604,9,10000
sep,1,1,1,U6,4,MEDIUM_DATASET,8685,63,10000
sep,1,1,1,U7,4,MEDIUM_DATASET,8217,74,10000
sep,0,0,1,none,8,MEDIUM_DATASET,82615,8,10000
sep,0,0,1,U6,8,MEDIUM_DATASET,14547,50,10000
sep,0,0,1,U7,8,MEDIUM_DATASET,12403,59,10000
sep,0,0,0,none,8,MEDIUM_DATASET,82615,8,10000
sep,0,0,0,U6,8,MEDIUM_DATASET,14751,44,10000
sep,0,0,0,U7,8,MEDIUM_DATASET,12883,51,10000
sep,1,1,0,none,8,MEDIUM_DATASET,10604,9,10000
sep,1,1,0,U6,8,MEDIUM_DATASET,13330,45,10000
sep,1,1,0,U7,8,MEDIUM_DATASET,12569,52,10000
sep,1,1,1,none,8,MEDIUM_DATASET,10604,9,10000
sep,1,1,1,U6,8,MEDIUM_DATASET,2737,63,10000
sep,1,1,1,U7,8,MEDIUM_DATASET,2587,74,10000
sep,0,0,1,none,12,MEDIUM_DATASET,76455,8,10000
sep,0,0,1,U6,12,MEDIUM_DATASET,13347,50,10000
sep,0,0,1,U7,12,MEDIUM_DATASET,11539,59,10000
sep,0,0,0,none,12,MEDIUM_DATASET,76455,8,10000
sep,0,0,0,U6,12,MEDIUM_DATASET,13731,44,10000
sep,0,0,0,U7,12,MEDIUM_DATASET,11747,51,10000
sep,1,1,0,none,12,MEDIUM_DATASET,10604,9,10000
sep,1,1,0,U6,12,MEDIUM_DATASET,9859,45,10000
sep,1,1,0,U7,12,MEDIUM_DATASET,8984,52,10000
sep,1,1,1,none,12,MEDIUM_DATASET,10604,9,10000
sep,1,1,1,U6,12,MEDIUM_DATASET,2737,63,10000
sep,1,1,1,U7,12,MEDIUM_DATASET,2587,74,10000
sep,0,0,1,none,16,MEDIUM_DATASET,71191,8,10000
sep,0,0,1,U6,16,MEDIUM_DATASET,12483,50,10000
sep,0,0,1,U7,16,MEDIUM_DATASET,10771,59,10000
sep,0,0,0,none,16,MEDIUM_DATASET,71191,8,10000
sep,0,0,0,U6,16,MEDIUM_DATASET,12651,44,10000
sep,0,0,0,U7,16,MEDIUM_DATASET,10963,51,10000
sep,1,1,0,none,16,MEDIUM_DATASET,10604,9,10000
sep,1,1,0,U6,16,MEDIUM_DATASET,8179,45,10000
sep,1,1,0,U7,16,MEDIUM_DATASET,7663,52,10000
sep,1,1,1,none,16,MEDIUM_DATASET,10604,9,10000
sep,1,1,1,U6,16,MEDIUM_DATASET,2737,63,10000
sep,1,1,1,U7,16,MEDIUM_DATASET,2587,74,10000
weighted_avg,0,0,1,none,4,MEDIUM_DATASET,125682,10,10000
weighted_avg,0,0,1,U3,4,MEDIUM_DATASET,42788,38,10000
weighted_avg,0,0,1,U4,4,MEDIUM_DATASET,32246,50,10000
weighted_avg,0,0,0,none,4,MEDIUM_DATASET,125682,10,10000
weighted_avg,0,0,0,U3,4,MEDIUM_DATASET,43121,34,10000
weighted_avg,0,0,0,U4,4,MEDIUM_DATASET,32862,45,10000
weighted_avg,1,1,0,none,4,MEDIUM_DATASET,27956,18,10000
weighted_avg,1,1,0,U3,4,MEDIUM_DATASET,41683,42,10000
weighted_avg,1,1,0,U4,4,MEDIUM_DATASET,37380,53,10000
weighted_avg,1,1,1,none,4,MEDIUM_DATASET,27956,18,10000
weighted_avg,1,1,1,U3,4,MEDIUM_DATASET,12654,59,10000
weighted_avg,1,1,1,U4,4,MEDIUM_DATASET,10640,76,10000
weighted_avg,0,0,1,none,8,MEDIUM_DATASET,111190,10,10000
weighted_avg,0,0,1,U3,8,MEDIUM_DATASET,37799,38,10000
weighted_avg,0,0,1,U4,8,MEDIUM_DATASET,28466,50,10000
weighted_avg,0,0,0,none,8,MEDIUM_DATASET,111190,10,10000
weighted_avg,0,0,0,U3,8,MEDIUM_DATASET,38087,34,10000
weighted_avg,0,0,0,U4,8,MEDIUM_DATASET,28994,45,10000
weighted_avg,1,1,0,none,8,MEDIUM_DATASET,11362,18,10000
weighted_avg,1,1,0,U3,8,MEDIUM_DATASET,27471,42,10000
weighted_avg,1,1,0,U4,8,MEDIUM_DATASET,24480,53,10000
weighted_avg,1,1,1,none,8,MEDIUM_DATASET,11362,18,10000
weighted_avg,1,1,1,U3,8,MEDIUM_DATASET,6175,59,10000
weighted_avg,1,1,1,U4,8,MEDIUM_DATASET,5878,76,10000
weighted_avg,0,0,1,none,12,MEDIUM_DATASET,110422,10,10000
weighted_avg,0,0,1,U3,12,MEDIUM_DATASET,37127,38,10000
weighted_avg,0,0,1,U4,12,MEDIUM_DATASET,27962,50,10000
weighted_avg,0,0,0,none,12,MEDIUM_DATASET,110422,10,10000
weighted_avg,0,0,0,U3,12,MEDIUM_DATASET,37127,34,10000
weighted_avg,0,0,0,U4,12,MEDIUM_DATASET,27962,45,10000
weighted_avg,1,1,0,none,12,MEDIUM_DATASET,11410,18,10000
weighted_avg,1,1,0,U3,12,MEDIUM_DATASET,21251,42,10000
weighted_avg,1,1,0,U4,12,MEDIUM_DATASET,18717,53,10000
weighted_avg,1,1,1,none,12,MEDIUM_DATASET,11410,18,10000
weighted_avg,1,1,1,U3,12,MEDIUM_DATASET,6223,59,10000
weighted_avg,1,1,1,U4,12,MEDIUM_DATASET,5926,76,10000
weighted_avg,0,0,1,none,16,MEDIUM_DATASET,110422,10,10000
weighted_avg,0,0,1,U3,16,MEDIUM_DATASET,37127,38,10000
weighted_avg,0,0,1,U4,16,MEDIUM_DATASET,27962,50,10000
weighted_avg,0,0,0,none,16,MEDIUM_DATASET,110422,10,10000
weighted_avg,0,0,0,U3,16,MEDIUM_DATASET,37127,34,10000
weighted_avg,0,0,0,U4,16,MEDIUM_DATASET,27962,45,10000
weighted_avg,1,1,0,none,16,MEDIUM_DATASET,11458,18,10000
weighted_avg,1,1,0,U3,16,MEDIUM_DATASET,17328,42,10000
weighted_avg,1,1,0,U4,16,MEDIUM_DATASET,15643,53,10000
weighted_avg,1,1,1,none,16,MEDIUM_DATASET,11458,18,10000
weighted_avg,1,1,1,U3,16,MEDIUM_DATASET,6271,59,10000
weighted_avg,1,1,1,U4,16,MEDIUM_DATASET,5974,76,10000
mvt,0,0,1,none,4,MEDIUM_DATASET,90621,6,10000
mvt,0,0,1,U6,4,MEDIUM_DATASET,13407,26,10000
mvt,0,0,1,U7,4,MEDIUM_DATASET,11583,30,10000
mvt,0,0,0,none,4,MEDIUM_DATASET,90621,6,10000
mvt,0,0,0,U6,4,MEDIUM_DATASET,13407,26,10000
mvt,0,0,0,U7,4,MEDIUM_DATASET,11583,30,10000
mvt,1,1,0,none,4,MEDIUM_DATASET,10570,7,10000
mvt,1,1,0,U6,4,MEDIUM_DATASET,2488,27,10000
mvt,1,1,0,U7,4,MEDIUM_DATASET,2298,31,10000
mvt,1,1,1,none,4,MEDIUM_DATASET,10570,7,10000
mvt,1,1,1,U6,4,MEDIUM_DATASET,2488,27,10000
mvt,1,1,1,U7,4,MEDIUM_DATASET,2298,31,10000
mvt,0,0,1,none,8,MEDIUM_DATASET,82605,6,10000
mvt,0,0,1,U6,8,MEDIUM_DATASET,11763,26,10000
mvt,0,0,1,U7,8,MEDIUM_DATASET,10131,30,10000
mvt,0,0,0,none,8,MEDIUM_DATASET,82605,6,10000
